time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
2023-06-08,61,29.1,25.3,26.9,34.2,30.1,32.0,2023-06-08T00:23,2023-06-08T12:54,16.41,12.9,12.9,0.0,23.0,17.3,40.3,232,3.27,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-09,63,29.3,25.7,27.2,34.7,29.8,32.0,2023-06-09T00:24,2023-06-09T12:54,18.11,7.3,7.3,0.0,16.0,19.6,39.6,225,3.58,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-10,61,29.8,25.6,27.6,34.5,30.5,32.4,2023-06-10T00:24,2023-06-10T12:54,19.62,6.4,6.4,0.0,16.0,20.6,42.5,235,3.96,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-11,61,29.0,25.5,27.2,35.0,30.8,32.6,2023-06-11T00:24,2023-06-11T12:55,14.88,4.9,4.9,0.0,18.0,13.6,37.8,226,3.01,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-12,63,29.2,25.2,26.7,36.5,30.2,32.1,2023-06-12T00:24,2023-06-12T12:55,16.47,18.8,18.8,0.0,21.0,14.2,38.2,220,3.2,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-13,63,29.2,24.8,26.7,35.0,29.4,31.8,2023-06-13T00:24,2023-06-13T12:55,17.2,17.0,17.0,0.0,23.0,15.6,43.6,229,3.39,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-14,61,29.1,25.6,27.2,34.2,30.8,32.4,2023-06-14T00:24,2023-06-14T12:55,14.97,7.3,7.3,0.0,19.0,16.4,40.0,224,3.02,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-15,51,29.7,26.2,27.6,36.5,31.7,33.3,2023-06-15T00:25,2023-06-15T12:56,15.89,3.2,3.2,0.0,17.0,12.6,32.4,218,3.22,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-16,53,30.2,26.2,28.0,36.0,31.1,32.9,2023-06-16T00:25,2023-06-16T12:56,19.21,5.6,5.6,0.0,24.0,20.5,41.8,236,3.98,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-17,51,29.4,26.2,27.2,35.4,31.0,32.4,2023-06-17T00:25,2023-06-17T12:56,14.8,5.0,5.0,0.0,23.0,16.3,37.8,231,2.98,6.9000015,79.899994,27.0,Sri Lanka,Athurugiriya
2023-06-08,51,31.0,22.3,26.1,34.4,24.6,28.6,2023-06-08T00:19,2023-06-08T12:50,22.26,0.3,0.3,0.0,1.0,14.8,43.9,262,5.09,7.0999985,81.100006,652.0,Sri Lanka,Badulla
2023-06-09,51,31.6,21.9,26.3,34.7,24.2,28.4,2023-06-09T00:19,2023-06-09T12:50,22.6,0.3,0.3,0.0,1.0,16.7,42.5,257,5.38,7.0999985,81.100006,652.0,Sri Lanka,Badulla
2023-06-10,55,31.5,21.3,26.0,34.3,23.3,28.2,2023-06-10T00:19,2023-06-10T12:50,22.73,1.0,1.0,0.0,1.0,15.2,43.9,262,5.25,7.0999985,81.100006,652.0,Sri Lanka,Badulla
2023-06-11,51,30.9,21.2,25.9,34.6,23.1,28.1,2023-06-11T00:19,2023-06-11T12:50,21.92,0.4,0.4,0.0,2.0,13.3,36.7,263,5.0,7.0999985,81.100006,652.0,Sri Lanka,Badulla
2023-06-12,51,31.1,21.4,26.2,34.2,23.7,28.6,2023-06-12T00:19,2023-06-12T12:51,21.19,0.2,0.2,0.0,2.0,14.8,37.1,262,4.93,7.0999985,81.100006,652.0,Sri Lanka,Badulla
2023-06-13,61,31.4,21.7,25.9,34.8,24.3,28.3,2023-06-13T00:20,2023-06-13T12:51,19.41,2.1,2.1,0.0,4.0,15.5,40.3,260,4.57,7.0999985,81.100006,652.0,Sri Lanka,Badulla
2023-06-14,55,30.9,22.5,26.5,33.6,25.0,28.8,2023-06-14T00:20,2023-06-14T12:51,19.8,2.6,2.6,0.0,6.0,15.8,43.2,269,4.75,7.0999985,81.100006,652.0,Sri Lanka,Badulla
2023-06-15,55,31.6,22.4,26.4,33.9,24.1,28.5,2023-06-15T00:20,2023-06-15T12:51,14.32,2.6,2.6,0.0,4.0,12.2,29.2,267,3.88,7.0999985,81.100006,652.0,Sri Lanka,Badulla
